根拠区分,順位,観察事項,数値根拠,考察時の確認項目
特徴語,1,「前歯」は歯牙障害でAllより35.7833ポイント高い。,"歯牙障害=45.5464%, All=9.7631%",事故場面・受傷機転・記載方法による影響を確認する。
特徴語,2,「歯」は歯牙障害でAllより21.5653ポイント高い。,"歯牙障害=28.048%, All=6.4827%",事故場面・受傷機転・記載方法による影響を確認する。
特徴語,3,「顔面」は歯牙障害でAllより17.3656ポイント高い。,"歯牙障害=30.8907%, All=13.5251%",事故場面・受傷機転・記載方法による影響を確認する。
特徴語,4,「口」は歯牙障害でAllより16.3ポイント高い。,"歯牙障害=22.6785%, All=6.3785%",事故場面・受傷機転・記載方法による影響を確認する。
特徴語,5,「する」は歯牙障害でAllより2.8354ポイント高い。,"歯牙障害=90.2085%, All=87.3731%",事故場面・受傷機転・記載方法による影響を確認する。
特徴語,6,「転倒」は歯牙障害でAllより8.8182ポイント高い。,"歯牙障害=25.1421%, All=16.3239%",事故場面・受傷機転・記載方法による影響を確認する。
特徴語,7,「歯科」は歯牙障害でAllより9.7891ポイント高い。,"歯牙障害=12.4447%, All=2.6556%",事故場面・受傷機転・記載方法による影響を確認する。
特徴語,8,「補綴」は歯牙障害でAllより9.7019ポイント高い。,"歯牙障害=12.3184%, All=2.6165%",事故場面・受傷機転・記載方法による影響を確認する。
特徴語,9,「加える」は歯牙障害でAllより9.685ポイント高い。,"歯牙障害=12.4447%, All=2.7597%",事故場面・受傷機転・記載方法による影響を確認する。
特徴語,10,「強打」は歯牙障害でAllより8.5336ポイント高い。,"歯牙障害=19.0777%, All=10.5441%",事故場面・受傷機転・記載方法による影響を確認する。
特徴語,11,「折」は歯牙障害でAllより8.9178ポイント高い。,"歯牙障害=11.5603%, All=2.6425%",事故場面・受傷機転・記載方法による影響を確認する。
特徴語,12,「自転車」は歯牙障害でAllより8.5291ポイント高い。,"歯牙障害=13.645%, All=5.1159%",事故場面・受傷機転・記載方法による影響を確認する。
特徴語,13,「中」は歯牙障害でAllより1.1226ポイント高い。,"歯牙障害=56.9804%, All=55.8578%",事故場面・受傷機転・記載方法による影響を確認する。
特徴語,14,「破る」は歯牙障害でAllより8.7249ポイント高い。,"歯牙障害=11.055%, All=2.3301%",事故場面・受傷機転・記載方法による影響を確認する。
特徴語,15,「本」は歯牙障害でAllより8.4139ポイント高い。,"歯牙障害=13.5818%, All=5.1679%",事故場面・受傷機転・記載方法による影響を確認する。
特徴語,16,「折れる」は歯牙障害でAllより7.3109ポイント高い。,"歯牙障害=9.602%, All=2.2911%",事故場面・受傷機転・記載方法による影響を確認する。
特徴語,17,「ボール」は歯牙障害でAllより4.2675ポイント高い。,"歯牙障害=25.3948%, All=21.1273%",事故場面・受傷機転・記載方法による影響を確認する。
特徴語,18,「当たる」は歯牙障害でAllより3.6664ポイント高い。,"歯牙障害=25.9002%, All=22.2338%",事故場面・受傷機転・記載方法による影響を確認する。
特徴語,19,「床」は歯牙障害でAllより5.8863ポイント高い。,"歯牙障害=11.9394%, All=6.0531%",事故場面・受傷機転・記載方法による影響を確認する。
特徴語,20,「顔」は歯牙障害でAllより5.6894ポイント高い。,"歯牙障害=11.5603%, All=5.8709%",事故場面・受傷機転・記載方法による影響を確認する。
