区分,所見,主な根拠ファイル,確定度,必要な確認
解析対象,"全7,682件、歯牙障害1,583件、歯牙障害以外6,099件",CreateData/Step8_多変量解析/Step8-05_一般向け結果要約.md,確認済み集計,給付年度範囲・抽出条件・重複処理
単語頻度,"歯牙障害群の単語別総出現回数・出現事例数・事例出現率",CreateData/Step7/歯牙障害/Table/Step7-23_単語頻度_事例出現率.csv,確認済み集計,品詞・正規化・ストップワード条件
TF-IDF群間比較,"歯牙障害群と歯牙障害以外群の平均TF-IDF差",CreateData/Step7/全体/Table/Step7-25_歯牙_vs_非歯牙_TFIDF比較.csv,探索的結果,平均値差であり検定・予測寄与ではない
2-gram,"解析用の語列で隣接する2語の組合せ",CreateData/Step7/歯牙障害/Table/Step7-27_Ngram_2gram_3gram.csv,探索的結果,原文の文字列上の直接隣接とは限らない
Jaccardペア共起,"歯牙障害1,583件内の2特徴の共通事例数÷和集合事例数",CreateData/Step4_Jaccard解析/Step4-2_歯牙障害_統合特徴間Jaccard.csv,探索的結果,群特異性・3項目以上の鎖・時系列・因果・予測寄与は未評価
Jaccard特徴集合比較,"全体と歯牙障害群で抽出された代表特徴集合の重なり",CreateData/Step4_Jaccard解析/Step4-5_All_vs歯牙障害_Jaccard比較.csv,探索的結果,個別ペアの群間差ではない
通学中,"590件中262件が歯牙障害（44.4%）",CreateData/Step8_多変量解析/Step8-01_上位5因子カテゴリ別集計.csv,確認済み集計,登録障害事例内の構成割合と明記
通学中調整関連,"通学中対課外指導 aOR 3.05（95%CI 2.51–3.71）",CreateData/Step8_多変量解析/Step8-03_調整オッズ比.csv,確認済み集計,定型項目の関連でありJaccardペアや受傷連鎖の検証ではない
自転車と徒歩,"徒歩対自転車 aOR 0.35（95%CI 0.18–0.69）",CreateData/Step8_多変量解析/Step8-03_調整オッズ比.csv,探索的サブグループ結果,発生場所を道路／道路以外へ事前統合・独立確認が必要
感度分析,"通学中aOR 3.04–3.06",CreateData/Step9_感度分析/Step9-01_カテゴリ統合基準_感度分析.csv,確認済み集計,安定したのは通学中・小・中の3係数でモデル全体ではない
交互作用,"高校・中学校・小学校7,104件に限定した通学中×学校種 p=0.000371（自由度2）",CreateData/Step9_感度分析/Step9-03_通学中と学校種_交互作用.csv,探索的結果,独立データでの確認・多重探索の考慮
通学方法二群感度分析,"自転車・徒歩558件に限定した徒歩対自転車 aOR 0.36（95%CI 0.18–0.72）",CreateData/Step9_感度分析/Step9-10_通学方法二群_感度分析.csv,探索的結果,その他交通の疎セルを除いた確認で外部検証ではない
モデル性能,"fold内前処理による5分割内部交差検証 平均AUC 0.682",CreateData/Step9_感度分析/Step9-05_5分割交差検証.csv,内部参考値,因子選択はfold外・外部検証・個人予測には使用しない
モデル診断,"主・詳細・通学中モデルはいずれも収束し、有限推定の警告なし。同一データ内AUCは0.685・0.689・0.747",CreateData/Step8_多変量解析/Step8-04_モデル診断.csv,確認済み診断,同一データ内AUCを未知事例の性能と解釈しない
多重共線性,"最大VIF 7.93と7.86は少数カテゴリ項目。通学中のVIFは1.16",CreateData/Step9_感度分析/Step9-04_多重共線性_VIF.csv,確認済み診断,少数カテゴリ係数は慎重に扱う
影響事例候補,"高レバレッジまたは大残差の確認候補419件",CreateData/Step9_感度分析/Step9-06_高レバレッジ・大残差候補_非識別集計.csv,確認用集計,誤り・除外対象の件数ではなく内部ID版は非公開
給付年度,"給付年度を西暦換算した区分を共変量として使用",CreateData/Step8_多変量解析/Step8-06_モデル設計と基準カテゴリ.csv,確認済み設計,発生年と表記しない
自動受傷機転,"旧ルール出力：転倒・つまずき283件中157件が歯牙障害",CreateData/Step11_通学中臨床レビュー/Internal_DoNotPublish/Step11-15_自動レビュー暫定解析レポート_使用停止.md,使用停止,複数機転の順序を扱えず人手未確認のため研究結果に使用しない
自動語彙検出,"歯牙障害262件中、転倒・つまずき語201件、路面接触語100件、前歯部語106件",CreateData/Step11_通学中臨床レビュー/Step11-03A_歯牙障害群内_複数ラベル語彙検出集計.csv,複数ラベル自動検出,同一原文由来・独立評価用標本で精度確認
Step11人手確認,"590件盲検シートと開発用100件Excelを作成済み。非重複の最終評価用100件は割付CSVのみ作成済みでExcelは未生成。コードブックrc1は2026-08-12承認済み、開発用Excel回答欄を解禁済み、人手回答A/B各0件",CreateData/Step11_通学中臨床レビュー/README.md,承認済み・評価未実施,A・B別Excelで独立評価と第三者調停を行い、完了まで旧単一分類を使用しない
臨床仮説,"自転車転倒―路面接触―前歯部受傷",StudyAI/01_AI統合解析レポート.md,AI仮説,ペアをつないだ仮説であり原文の順序を人手確認
投稿準備,"Step8〜10の確認済み結果を投稿用にまとめた派生成果物",CreateData/Step12_投稿準備/README.md,投稿前素材,Step11旧単一分類は本文から除外・未確定欄と投稿規定を研究者が確認
