コードブック版,項目,選択値,定義,コメント必須,状態
Step11-CB-1.0.0-rc1,起点機転,転倒・つまずき,事故経過の起点が、バランス喪失、つまずき、滑り等による転倒である。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,起点機転,衝突・接触,人・車両・構造物等との接触が転倒等より先に生じた。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,起点機転,転落・落下,高低差を伴う落下が事故の起点である。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,起点機転,その他,起点は特定できるが既定3分類外。コメント必須。,はい,研究者確認待ち
Step11-CB-1.0.0-rc1,起点機転,判定不能,起点の情報不足、順序不明または矛盾により特定できない。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,出来事の順序,単一機転,判定に必要な出来事が1つだけ記載される。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,出来事の順序,複数機転・順序明記,複数の出来事と前後関係が明記される。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,出来事の順序,複数機転・順序不明,複数の出来事があるが前後関係を決められない。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,出来事の順序,判定不能,出来事の数または記載自体を判断できない。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,最終接触対象,路面・地面・床,道路、歩道、アスファルト、地面、校庭、床等。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,最終接触対象,車両,自動車、二輪車、自転車等の車体。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,最終接触対象,自転車部品,ハンドル、かご、フレーム、ペダル等。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,最終接触対象,人,歩行者、同乗者、他の児童生徒等。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,最終接触対象,構造物,壁、柱、塀、ガードレール、縁石、門扉等。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,最終接触対象,その他,接触対象は特定できるが既定分類外。コメント必須。,はい,研究者確認待ち
Step11-CB-1.0.0-rc1,最終接触対象,該当なし,口腔・顔面への接触対象が存在しないことが明確。,いいえ,研究者確認待ち
